timestamp,data,index
1714340640.3718781,3025969.234954668,0
1714340640.7425025,28663891.068669535,1
1714340641.1014872,29635364.47986101,1
1714340641.4611037,29588836.221200038,1
1714340641.8195586,29668416.357401114,2
1714340642.1822813,29298285.212559093,2
1714340642.5516357,28785522.081375796,2
1714340642.9320512,27942419.957953636,3
1714340643.296079,29137007.494087797,3
1714340643.6423483,30590801.80119668,3
1714340643.9981823,29759252.57473655,4
1714340644.3664107,28771152.786926683,4
1714340644.7387483,28471429.843180697,4
1714340645.1360803,26665235.7597068,5
1714340645.4907246,29910067.664991114,5
1714340645.8417609,30268690.89648624,5
1714340646.214688,28497023.464900117,6
1714340646.5709429,29803184.466569986,6
1714340647.2947469,14648586.33795996,6
1714340648.0360816,14279521.340442536,7
1714340648.400206,29096045.27456623,7
1714340648.7606103,29364076.359755207,8
1714340649.1121464,30089344.354019463,8
1714340649.4742937,29196491.50061524,8
1714340649.8322022,29587240.176567256,9
1714340650.185386,29958865.31433212,9
1714340650.5349874,30293409.638744842,9
1714340650.8937767,29543540.41191817,10
1714340651.2523558,29613702.290812694,10
1714340651.615785,29192610.084434196,10
1714340651.9675486,30149719.431782167,11
1714340652.3282425,29348383.784669325,11
1714340652.6940813,28936727.839102946,11
1714340653.052276,29573652.833222844,12
1714340653.418785,28936843.40685404,12
1714340653.7842636,29045612.179982007,12
1714340654.1387422,29939517.778794434,13
1714340654.4989743,29429842.215223327,13
1714340654.8509946,30108063.447861835,13
1714340655.2086024,29630990.034420732,14
1714340655.5786705,28604938.02022597,14
1714340655.938008,29475956.343532003,14
1714340656.2871835,30339399.59631935,15
1714340656.646386,29459825.61110831,15
1714340657.005342,29413217.846170604,15
1714340657.3623993,29579751.725844383,16
1714340657.7363198,28237970.933224853,16
1714340658.0977893,29254156.53071872,16
1714340658.482257,27521397.191681203,17
1714340659.1840408,15079645.426541952,17
1714340659.5428042,29498598.278208736,18
1714340659.917645,28260312.18826415,18
1714340660.2961671,28013740.5198287,18
1714340660.6530347,29686270.694722217,19
1714340661.008558,29858664.613045525,19
1714340661.3703291,29392908.374010712,19
1714340661.7362792,29084406.276369795,20
1714340662.0905693,30030037.717219,20
1714340662.467366,28241014.40636803,20
