timestamp,data,index
1714340640.437046,2911876.763514872,0
1714340640.8053825,28118952.917626683,1
1714340641.1652818,28829839.76185593,1
1714340641.525927,28767663.05314403,1
1714340641.8858762,28833802.56596595,2
1714340642.256288,28003436.319809683,2
1714340642.6322584,27597365.33095233,2
1714340643.001216,28118076.546994366,3
1714340643.3566496,29138806.5194662,3
1714340643.7039046,29766227.17414155,3
1714340644.0640044,28705077.982695654,4
1714340644.4401908,27474598.511383355,4
1714340644.802199,28576834.359467596,4
1714340645.1983705,26088064.128026344,5
1714340645.552356,29231933.67363249,5
1714340645.9132442,28700880.183860417,5
1714340646.2801442,28238599.06236037,6
1714340646.646078,28292200.0936857,6
1714340647.0046914,28877915.88479765,6
1714340647.3575878,29278686.854594834,7
1714340647.744488,26716401.539752584,7
1714340648.1007414,28995420.31394395,7
1714340648.460249,28769852.339316126,8
1714340648.8227177,28486138.215239137,8
1714340649.186543,28359725.87718736,8
1714340649.5425258,28968559.547187604,9
1714340649.894552,29343285.299443882,9
1714340650.5995736,14636624.56463968,9
1714340650.9567986,28910204.30523373,10
1714340651.3275087,27899951.05270869,10
1714340651.678068,29508378.583824538,10
1714340652.0334702,29086705.40592286,11
1714340652.3897185,28952499.751074646,11
1714340652.7566128,28099798.889674313,11
1714340653.1160815,28705256.13554286,12
1714340653.4908903,27565213.53380172,12
1714340653.846247,29075994.67891878,12
1714340654.2044473,28835660.98077019,13
1714340654.559337,29070105.243409198,13
1714340654.9105124,29386306.075179864,13
1714340655.2735949,28420346.380084366,14
1714340655.6427243,27946692.894992318,14
1714340655.9990335,28954469.15399367,14
1714340656.3488271,29497377.855150543,15
1714340656.7099938,28549929.323500656,15
1714340657.0709743,28519248.313108858,15
1714340657.4347215,28321882.005781095,16
1714340657.7986777,28303705.57881118,16
1714340658.1910717,26275397.058161605,16
1714340658.5421722,29383320.777426403,17
1714340658.8929775,29381402.040099908,17
1714340659.2462866,29222876.913161892,17
1714340659.6269877,27130754.787097808,18
1714340659.9778614,29460403.38401849,18
1714340660.359585,27087865.676505364,18
1714340660.72199,28492086.534527518,19
1714340661.0747743,29320100.77344195,19
1714340661.4313476,29056128.78987779,19
1714340661.7974155,28319385.95497315,20
1714340662.163675,28286477.586520027,20
1714340662.5295508,28339010.613066245,20
1714340662.8876011,28933206.135633126,21
1714340663.2437515,29073083.144477744,21
1714340663.5952907,29394135.47817347,21
1714340663.965799,27832219.628516123,22
