Rosbag,Compression Type,Method,Average Bandwidth [Mb/s],Standard Deviation
road_2011_09_26_bag,draco,Per Message,42.433565312371016,5.020965248645429
road_2011_09_26_bag,draco,Per Second,45.66159941666667,5.471881146567313
road_2011_09_26_bag,raw,Per Second,92.24644533333333,9.827139761583403
road_2011_09_26_bag,raw,Per Message,85.30850119457287,8.977195432968522
road_2011_09_26_bag,zlib,Per Second,30.594052333333337,3.735220884115154
road_2011_09_26_bag,zlib,Per Message,28.434626739120624,3.268031970928065
road_2011_09_26_bag,zstd,Per Second,29.911507,3.0238016884568966
road_2011_09_26_bag,zstd,Per Message,27.846739572139494,2.881801688271237
