timestamp,data,index
1714340640.43703,10363568.0,1
1714340641.5259178,31108184.0,2
1714340642.6322498,31127320.0,3
1714340643.7038958,31067760.0,4
1714340644.802193,31017392.0,5
1714340645.9132361,31040784.0,6
1714340647.004684,31069840.0,7
1714340648.1007345,30998656.0,8
1714340649.1865337,30986232.0,9
1714340650.599567,30961040.0,10
1714340651.6780608,31014664.0,11
1714340652.756607,30961456.0,12
1714340653.8462381,30982584.0,13
1714340654.910501,30965296.0,14
1714340655.9990237,30951672.0,15
1714340657.070967,30924240.0,16
1714340658.1910648,30913632.0,17
1714340659.2462773,30948288.0,18
1714340660.3595786,31005768.0,19
1714340661.4313378,31029888.0,20
1714340662.5295331,31095344.0,21
1714340663.5952842,31047448.0,22
1714340664.7323418,30941880.0,23
1714340665.8152075,30920256.0,24
1714340666.8744674,30913288.0,25
1714340667.9616592,30936552.0,26
1714340669.0404055,30881784.0,27
1714340670.1280768,30841208.0,28
1714340671.2039068,30884216.0,29
1714340672.314869,20653152.0,30
1714340673.7418368,30995296.0,31
1714340674.8319912,30945640.0,32
1714340675.8964095,30884152.0,33
1714340676.9893537,30885128.0,34
1714340678.0626576,30817592.0,35
1714340679.1340597,30844968.0,36
1714340680.242806,30863096.0,37
1714340681.2994647,30904120.0,38
1714340682.3822649,30917712.0,39
1714340683.4548256,30845752.0,40
1714340684.5356162,30767800.0,41
1714340685.5933254,30731584.0,42
1714340686.6758983,20423224.0,43
1714340688.0896788,30607576.0,44
1714340689.1563442,30517008.0,45
1714340690.2077546,30491808.0,46
1714340691.3544555,30482512.0,47
1714340692.4310849,30513456.0,48
1714340693.5285158,30606960.0,49
1714340694.6061618,30592200.0,50
1714340695.6817563,30549368.0,51
1714340696.748603,30506192.0,52
1714340697.8279057,30473720.0,53
1714340698.8860664,30590544.0,54
1714340699.9473162,30596184.0,55
1714340700.9908178,29590096.0,56
1714340702.3233497,36995376.0,57
1714340703.3989496,30416520.0,58
1714340704.4514775,30779848.0,59
1714340705.5361469,30739472.0,60
1714340706.6415474,30569120.0,61
1714340707.6837757,30484144.0,62
1714340708.7456028,30288480.0,63
1714340709.8303852,29989360.0,64
1714340710.909583,30056152.0,65
1714340711.983643,30318216.0,66
1714340713.0681314,30176496.0,67
1714340714.1389885,20038776.0,68
1714340715.2094364,30210872.0,69
1714340716.2851615,30199120.0,70
1714340717.35374,30204208.0,71
1714340718.4116573,30109288.0,72
1714340719.5011392,30074968.0,73
1714340720.5285215,28886256.0,74
1714340721.5527651,29476048.0,75
1714340722.5613058,29937576.0,76
1714340723.5682015,29145288.0,77
1714340724.5806668,29122264.0,78
1714340725.9937038,29740880.0,79
1714340727.035219,29431112.0,80
1714340728.0647125,28774824.0,81
1714340729.379512,29004944.0,82
1714340730.4224114,29078064.0,83
1714340731.4587986,28797304.0,84
1714340732.5061219,28287648.0,85
1714340733.55657,29241504.0,86
1714340734.5994594,29145120.0,87
1714340735.6238966,28777760.0,88
1714340736.6491904,28130640.0,89
1714340737.6653862,28209176.0,90
1714340738.681793,27922968.0,91
1714340739.6831613,27626312.0,92
1714340740.6907558,27094640.0,93
1714340741.9509094,34753304.0,94
1714340743.2686553,36657088.0,95
1714340744.2793074,27116456.0,96
