timestamp,data,index
1714340247.671312,10550240.0,1
1714340249.1433408,31640728.0,2
1714340250.1607502,21097128.0,3
1714340251.26179,21097496.0,4
1714340252.745175,31643440.0,5
1714340254.1774452,31655176.0,6
1714340255.7052023,31654120.0,7
1714340257.1746547,31639992.0,8
1714340258.5970068,31650576.0,9
1714340260.6973057,31621888.0,10
1714340261.776999,21096496.0,11
1714340262.7960658,21095456.0,12
1714340263.8156765,21096024.0,13
1714340265.283948,31645912.0,14
1714340266.7312572,31648784.0,15
1714340268.1607847,31653088.0,16
1714340269.6286,31649096.0,17
1714340271.1172066,21095992.0,18
1714340272.5745206,31646392.0,19
1714340274.0372496,31657608.0,20
1714340275.438819,31658352.0,21
1714340276.8680637,31659768.0,22
1714340277.8822377,21106120.0,23
1714340278.8823006,21096720.0,24
1714340279.9555132,21088632.0,25
