timestamp,data,index
1714340246.807897,32211712.0,1
1714340247.8739927,64416000.0,2
1714340249.3322258,96577792.0,3
1714340250.423297,64446464.0,4
1714340251.4560938,64425472.0,5
1714340252.9374204,96599040.0,6
1714340254.3839655,96626432.0,7
1714340255.9086146,96588032.0,8
1714340257.3624406,64399616.0,9
1714340258.8045282,96603392.0,10
1714340259.8662887,64423424.0,11
1714340260.9311984,64284416.0,12
1714340261.9903119,64379904.0,13
1714340263.0008693,64373248.0,14
1714340264.9585195,32203520.0,15
1714340266.401448,96591616.0,16
1714340267.4033148,64413440.0,17
1714340268.8648214,96599296.0,18
1714340270.2961266,96612864.0,19
1714340271.8023803,64412416.0,20
1714340273.2643247,96632320.0,21
1714340274.704788,64422144.0,22
1714340276.0878668,64420352.0,23
1714340277.5356634,96617216.0,24
1714340278.5896614,64408320.0,25
1714340279.6535335,64380160.0,26
