timestamp,data,index
1714340246.985209,10830792.0,1
1714340248.058009,21651592.0,2
1714340249.5208542,32468208.0,3
1714340250.5936594,21662232.0,4
1714340251.6325364,21657200.0,5
1714340252.6353056,10815288.0,6
1714340254.067935,32483600.0,7
1714340255.5464904,32473600.0,8
1714340256.5808063,21647872.0,9
1714340258.0389295,32489824.0,10
1714340259.4575691,32492256.0,11
1714340260.5652242,21608560.0,12
1714340261.6293905,21652352.0,13
1714340262.6857681,21650048.0,14
1714340263.7136042,21649000.0,15
1714340265.1808815,21644280.0,16
1714340266.6164012,32477880.0,17
1714340268.0552542,32478808.0,18
1714340269.515408,32474920.0,19
1714340270.9992476,32478192.0,20
1714340272.4656231,32479616.0,21
1714340273.9379945,32486464.0,22
1714340275.3435476,32487168.0,23
1714340276.7683105,32484856.0,24
1714340277.770128,21658664.0,25
1714340278.7792006,21650832.0,26
1714340279.8543963,21637296.0,27
