timestamp,data,index
1714340246.9852207,3656460.1504585743,0
1714340247.5578916,18903229.8964244,1
1714340248.0580146,21646963.87594259,1
1714340248.5530257,21863706.756368317,2
1714340249.04054,22191799.87321907,2
1714340249.5208635,22540412.442571905,2
1714340250.0647266,19921406.78971697,3
1714340250.593666,20470488.595405005,3
1714340251.1594443,19146000.69176856,4
1714340251.632549,22880658.210629545,4
1714340252.635333,10785420.670144146,5
1714340253.11368,22638207.572243046,6
1714340253.5769007,23372455.58454542,6
1714340254.0679448,22050300.15821882,6
1714340254.563291,21854395.15357343,7
1714340255.0580738,21878185.69247464,7
1714340255.5464973,22159241.10265904,7
1714340256.0937572,19771019.418334663,8
1714340256.5808146,22231496.62746718,8
1714340257.0676038,22253648.437242404,9
1714340257.5469153,22585988.08202457,9
1714340258.0389411,22013750.232276727,9
1714340258.4973109,23617915.836424608,10
1714340258.9806151,22405949.017665405,10
1714340259.457579,22722019.546555214,10
1714340260.0860262,17220265.344785515,11
1714340260.5652301,22509061.83082001,11
1714340261.1382713,18894611.863021143,12
1714340261.6293967,22041126.140102975,12
1714340262.1794653,19674459.306777995,13
1714340262.6857848,21385646.91466426,13
1714340263.2456026,19330099.282357566,14
1714340263.7136102,23135206.97817903,14
1714340264.6616228,11413446.742428971,15
1714340265.1808882,20845180.391257156,15
1714340265.6500843,23081247.82963717,16
1714340266.1174343,23149388.229994357,16
1714340266.6164086,21703313.609974567,16
1714340267.1026883,22262011.96004501,17
1714340267.5820148,22592732.730437275,17
1714340268.0552673,22871674.93142348,17
1714340268.5565238,21593145.74707815,18
1714340269.0484135,22007596.839945152,18
1714340269.5154173,23181451.211102623,18
1714340269.998499,22420665.524458542,19
1714340270.465485,23177953.26134635,19
1714340270.9992688,20277206.376806155,19
1714340271.4936895,21885603.825788908,20
1714340271.9787145,22321359.967620045,20
1714340272.4656289,22246540.58899367,20
1714340272.9617758,21819587.88743657,21
1714340273.4490676,22227481.605711535,21
1714340273.9380019,22149208.32644073,21
1714340274.4038677,23244944.486627597,22
1714340274.8810043,22699558.82853431,22
1714340275.3435593,23407921.404916268,22
1714340275.7896814,24281428.539089445,23
1714340276.2849286,21862075.022545386,23
1714340276.7683175,22394263.9323971,23
1714340277.234485,23223567.77684558,24
1714340277.770165,20223279.161909815,24
1714340278.2845516,21047299.38484156,25
1714340278.7792125,21881370.42020063,25
1714340279.3633473,18520431.170935087,26
1714340279.8544068,22031630.763138026,26
