timestamp,data,index
1714340246.8079069,12060931.686633285,0
1714340247.3640409,57911357.53258467,1
1714340247.8740022,63160663.65171599,1
1714340248.374697,64286267.42918746,2
1714340248.850932,67594373.50911579,2
1714340249.3322382,66899997.64162338,2
1714340249.870402,59881052.094043076,3
1714340250.423306,58274955.64039787,3
1714340250.949815,61195395.12871473,4
1714340251.4561083,63611014.11902627,4
1714340251.9275544,68289657.46275415,5
1714340252.4451852,62188189.618914306,5
1714340252.9374335,65441594.12201943,5
1714340253.4094937,68253182.21418983,6
1714340253.877211,68852052.22654483,6
1714340254.3839777,63546930.8462191,6
1714340254.869668,66296100.447341755,7
1714340255.352776,66646226.97289105,7
1714340255.908622,57913594.93391656,7
1714340256.4027262,65167234.99381975,8
1714340257.3624485,33551731.22741008,8
1714340257.8600485,64723005.427832186,9
1714340258.3257735,69144685.49467538,9
1714340258.8045382,67245882.79316287,9
1714340259.2760086,68335047.29913932,10
1714340259.8662999,54558671.63904702,10
1714340260.3937228,60838804.47271869,11
1714340260.9312153,59902191.20939717,11
1714340261.446795,62435747.22706024,12
1714340261.9903266,59222224.76614989,12
1714340262.4952893,63757143.80696415,13
1714340263.000882,63644391.582400225,13
1714340264.9585314,16450089.118482811,14
1714340265.4756722,62265244.99775245,15
1714340265.9426172,68915930.77860391,15
1714340266.4014564,70202144.78408583,15
1714340266.9305441,60869241.74064359,16
1714340267.4033248,68125385.51424493,16
1714340267.8773403,67940028.8293578,17
1714340268.3629446,66303041.13041339,17
1714340268.8648312,64153169.87121924,17
1714340269.3391204,67905664.54996102,18
1714340269.8196309,67016731.57701401,18
1714340270.2961369,67583085.90980573,18
1714340270.8155024,62009821.250963904,19
1714340271.8023875,32634521.41167853,19
1714340272.2936645,65570130.31316227,20
1714340272.7703161,67566250.9548618,20
1714340273.2643356,65207748.63217698,20
1714340273.7550762,65645832.84085559,21
1714340274.7048018,33912094.0897177,21
1714340275.1737106,68687012.13044624,22
1714340276.0878763,35236954.86997953,22
1714340276.5846224,64845914.087209776,23
1714340277.062961,67313639.80325116,23
1714340277.5356762,68131455.91968931,23
1714340278.103115,56765583.6553046,24
1714340278.5896728,66173571.05065657,24
1714340279.1066077,62281673.98855908,25
1714340279.6535656,58845125.9601503,25
