Rosbag,Compression Type,Method,Average Bandwidth [Mb/s],Standard Deviation
campus_2011_09_28_bag,draco,Per Second,36.181428479999994,8.110125348952822
campus_2011_09_28_bag,draco,Per Message,30.994467895358554,6.583104831713005
campus_2011_09_28_bag,raw,Per Second,71.20803286486486,18.881560638015863
campus_2011_09_28_bag,raw,Per Message,62.22559775024412,15.103390610070777
campus_2011_09_28_bag,zlib,Per Second,23.695588266666668,6.505439339302568
campus_2011_09_28_bag,zlib,Per Message,20.776981756908956,4.903643095635832
campus_2011_09_28_bag,zstd,Per Second,22.757570736842105,5.6891722198449814
campus_2011_09_28_bag,zstd,Per Message,19.79436378150522,4.634128596600365
