timestamp,data,index
1714339896.0292802,31505152.0,1
1714339897.2261617,94584320.0,2
1714339898.3153262,63062272.0,3
1714339899.3769076,63022592.0,4
1714339900.4509962,63034880.0,5
1714339901.6145828,63017984.0,6
1714339902.6217442,63064832.0,7
1714339903.6226943,63086336.0,8
1714339904.6484463,63092992.0,9
1714339906.152024,94656512.0,10
1714339907.2069507,63113728.0,11
1714339908.2745495,63136256.0,12
1714339909.7427223,94661632.0,13
1714339910.790677,63126528.0,14
1714339912.324964,63080704.0,15
1714339913.4148853,31536384.0,16
1714339914.4217498,63093760.0,17
1714339915.4513254,63084800.0,18
1714339916.4915164,63104256.0,19
1714339917.5175838,63083264.0,20
1714339918.9426372,94654464.0,21
1714339920.310494,94678016.0,22
1714339921.5318294,63125760.0,23
1714339922.743267,63097344.0,24
1714339923.8537755,63114496.0,25
1714339925.3492131,94600448.0,26
1714339926.4133415,31533568.0,27
1714339927.507272,63078144.0,28
1714339928.7308314,31543296.0,29
1714339930.2112868,94625792.0,30
1714339931.3127856,63047680.0,31
1714339932.3748603,63113728.0,32
1714339933.7265553,94653184.0,33
1714339934.994967,94685184.0,34
1714339936.1984026,94660864.0,35
1714339937.520137,94676480.0,36
1714339938.738911,94729472.0,37
1714339939.8757834,94719232.0,38
1714339940.9865184,94670080.0,39
1714339942.115368,63123200.0,40
1714339943.267579,63141120.0,41
1714339944.3862512,94648832.0,42
1714339945.6066365,94705408.0,43
1714339946.7255442,94683392.0,44
1714339947.8541908,94650624.0,45
1714339949.0516315,94666240.0,46
1714339950.476939,94690048.0,47
1714339951.5074599,63112704.0,48
1714339953.0270977,94678528.0,49
1714339954.9899783,94663936.0,50
1714339956.076002,63128320.0,51
1714339957.212096,31553024.0,52
1714339958.915986,63124992.0,53
1714339960.3256264,94669056.0,54
1714339962.3996496,94690816.0,55
1714339963.503763,63133440.0,56
1714339965.783823,63154176.0,57
1714339967.5237362,31535104.0,58
1714339969.1511984,63067648.0,59
1714339970.1988974,63081216.0,60
1714339971.9350362,63098368.0,61
1714339973.0422666,63121152.0,62
1714339974.217824,63123456.0,63
1714339975.6998546,94671872.0,64
1714339976.7820313,63107328.0,65
1714339977.8066504,63103488.0,66
1714339978.9522784,63115520.0,67
1714339980.2130785,63103232.0,68
1714339981.4253745,63100928.0,69
1714339982.5735369,63127808.0,70
1714339983.7909775,63153408.0,71
1714339984.9921682,63163392.0,72
1714339986.14696,63164928.0,73
1714339987.2311084,63181312.0,74
