Rosbag,Compression Type,Method,Average Bandwidth [Mb/s],Standard Deviation
city_2011_09_26_bag,draco,Per Message,32.52750247125173,4.076293547187769
city_2011_09_26_bag,draco,Per Second,44.771956222222215,6.665690683385469
city_2011_09_26_bag,raw,Per Message,63.641743291032505,10.296894406060218
city_2011_09_26_bag,raw,Per Second,86.93961244444444,15.28879554122111
city_2011_09_26_bag,zlib,Per Message,21.417169661483516,2.8807945057195767
city_2011_09_26_bag,zlib,Per Second,29.860096,4.1210666717616276
city_2011_09_26_bag,zstd,Per Message,21.05806659569962,2.677430889071066
city_2011_09_26_bag,zstd,Per Second,27.875141473684213,4.958827609744731
