timestamp,data,index
1714340096.9080262,5293156.726329866,0
1714340097.4091136,62064383.091825396,1
1714340097.8720822,67242195.47802013,1
1714340098.328231,68345872.09100498,1
1714340098.7882216,67868284.04731746,2
1714340099.2485363,67765249.65689957,2
1714340099.7194347,66323401.29379343,2
1714340100.165421,70160160.53913939,3
1714340100.6162686,69502643.30705723,3
1714340101.0820239,67324979.50924417,3
1714340101.6247663,57805703.34405904,4
1714340102.120315,63264423.18065205,4
1714340102.620027,62789543.83626141,5
1714340103.119486,62789107.968887925,5
1714340103.604608,64620286.91472859,5
1714340104.0779564,66141260.68170796,6
1714340104.5405772,67656291.11069973,6
1714340105.442835,34578622.34409032,6
1714340105.8915403,69524789.23714748,7
1714340106.3940976,61899534.145890884,7
1714340106.8412256,69459373.62346098,7
1714340107.2929308,68757897.09966183,8
1714340107.7916605,62202911.61901065,8
1714340108.2515583,67564166.61524719,8
1714340108.7132099,67399851.47014652,9
1714340109.1633382,69132420.63088916,9
1714340109.611274,69453028.73822436,9
1714340110.074825,67011907.66998532,10
1714340110.5681705,62855372.0129594,10
1714340111.0470903,64793078.706424564,10
1714340111.5193856,65717237.53419374,11
1714340111.9889762,66093109.96949259,11
1714340112.4481237,67612576.77702917,11
1714340113.0113807,55090545.46861029,12
1714340113.4697237,67693491.5126669,12
1714340114.003568,58118924.10737423,13
1714340114.5297084,59057242.947846174,13
1714340115.0149064,64124716.261192,14
1714340115.465452,69086343.24192952,14
1714340115.9212346,68226329.35927385,14
1714340116.8658812,32853484.516490873,15
1714340117.3149107,69069234.4454633,15
1714340117.8021894,63692679.62119427,16
1714340118.2499642,69438124.50869301,16
1714340118.707483,67988084.17443036,16
1714340119.6097865,34578405.44473674,17
1714340120.0691814,67873661.68936618,17
1714340120.5393426,66284970.931063406,18
1714340121.011611,65991099.4707744,18
1714340121.4637597,69031849.19410981,18
1714340121.9257784,67565265.32264303,19
1714340122.3959892,66460209.621059604,19
1714340122.8547053,68180931.59038669,19
1714340123.3056445,69386950.31327724,20
1714340123.76774,67819308.59762514,20
1714340124.218659,69492293.07540326,20
1714340124.698951,65253711.61783901,21
1714340125.1498606,69437630.80702296,21
1714340126.1282165,31993909.261280634,21
1714340126.6336071,61988121.04058248,22
1714340127.1036053,66709884.69370777,22
1714340127.5669672,67750230.9747761,22
1714340128.0398016,66466003.947886825,23
1714340128.500906,68206064.96612403,23
1714340128.9820838,65411021.67158393,23
1714340129.4861822,62450198.71931864,24
1714340129.9472475,68315633.89030685,24
1714340130.405,68793316.80497433,24
1714340130.8897164,64967730.14445711,25
1714340131.3258276,72232938.91898736,25
1714340131.788025,68176396.21284306,25
1714340132.2316587,70958259.86550611,26
1714340132.7456512,61277127.314302675,26
1714340133.2105937,67727357.14980727,26
1714340133.6714723,68336604.6708407,27
1714340134.134817,68056101.98556449,27
1714340135.0703874,33698284.11731178,27
1714340135.5275724,68935923.55294296,28
1714340136.002046,66393090.97100935,28
1714340136.4696612,67405826.01216221,28
1714340136.9447367,66299712.36831246,29
1714340137.41158,67423241.39583877,29
1714340137.878084,67486309.96698761,29
1714340138.3592234,65401725.72321085,30
1714340138.8874457,59605824.32229495,30
1714340139.366785,65711785.59420168,31
1714340139.8429182,66144356.25676827,31
1714340140.8529348,31211431.321938068,31
1714340141.322748,67111452.27243811,32
1714340141.7982042,66363510.2044245,32
1714340142.2451062,70606652.9131521,32
1714340142.7248883,65725258.59678137,33
1714340143.17847,69521191.26232271,33
1714340143.656499,65934766.311645694,33
1714340144.1377037,65444099.94874915,34
1714340144.6442063,62149396.2588541,34
1714340145.119215,66224016.40497495,34
1714340145.6085653,64198942.90018383,35
1714340146.065006,68729634.97425446,35
1714340146.5779986,61216120.04071286,35
1714340147.025493,56248307.65800335,36
