timestamp,data,index
1714340096.908014,31014912.0,1
1714340098.3282173,93406464.0,2
1714340099.719422,93643776.0,3
1714340101.0820065,93982208.0,4
1714340102.1202965,62724096.0,5
1714340103.604596,94086400.0,6
1714340105.442824,93805824.0,7
1714340106.8412137,93361408.0,8
1714340108.2515452,93153280.0,9
1714340109.6112654,93344512.0,10
1714340111.047083,93103616.0,11
1714340112.448115,93118720.0,12
1714340113.4696994,62055936.0,13
1714340114.5296986,62099712.0,14
1714340115.9212167,93335552.0,15
1714340117.314903,62049536.0,16
1714340118.707471,93234432.0,17
1714340120.0691702,62381056.0,18
1714340121.4637465,93542656.0,19
1714340122.8546948,93742592.0,20
1714340124.2186496,93963776.0,21
1714340126.1282003,93952000.0,22
1714340127.5669553,94074880.0,23
1714340128.9820683,94351616.0,24
1714340130.4049857,94469376.0,25
1714340131.788015,94503680.0,26
1714340133.210583,94464768.0,27
1714340135.0703769,94555392.0,28
1714340136.4696472,94537984.0,29
1714340137.8780694,94456064.0,30
1714340138.8874304,62952448.0,31
1714340140.8529222,94515968.0,32
1714340142.2450974,94637312.0,33
1714340143.656486,94585856.0,34
1714340145.1191957,94427392.0,35
1714340146.5779893,94190848.0,36
